campaign_id,campaign_name,campaign_type,target_segment,region,start_date,end_date,status,budget,spend,impressions,clicks,ctr_pct,conversions,conversion_rate_pct,revenue_generated,roi_pct,cost_per_click,cost_per_conversion
4b7492f6-b0dd-4803-9fb0-837151edb1f4,New Year Kickoff — 2022 (PPC),PPC,Bronze,International,2022-12-05,2022-12-27,Active,208614.99,140134.6,2601761,71233,2.738,1090,1.53,322679.01,130.26,1.9673,128.56
a6af7660-a8fc-4c99-a629-01b338603c53,Valentine's Day Promo — 2025 (SMS),SMS,All Customers,Southeast,2025-11-20,2026-03-14,Active,53199.22,29952.33,3416813,22802,0.667,1850,8.115,320922.14,971.44,1.3136,16.19
d9aab859-df82-4360-a864-0c2e687869ac,Spring Launch — 2022 (Social Media),Social Media,New Customers,International,2022-01-29,2022-05-11,Completed,91570.48,94832.7,4245423,201209,4.739,21888,10.878,7200434.46,7492.78,0.4713,4.33
626adea1-7820-4a0e-99bc-2f230a28b5f7,Earth Day Initiative — 2024 (Radio),Radio,New Customers,Midwest,2024-04-29,2024-05-29,Planned,94060.41,0.0,3178676,166947,5.252,4952,2.967,1582454.32,0.0,0.0,0.0
c4d5089f-de1a-4343-bb07-4b4c58b3ec2f,Mother's Day Gifts — 2024 (Content Marketing),Content Marketing,Bronze,Northeast,2024-02-13,2024-05-28,Completed,163679.49,150955.24,3740218,56991,1.524,1271,2.231,197474.52,30.82,2.6488,118.77
faed13c6-9b4a-4e08-8591-df3f381b103b,Summer Splash Sale — 2022 (Content Marketing),Content Marketing,All Customers,Southeast,2022-01-06,2022-01-14,Completed,50532.61,52174.15,3312401,146082,4.41,10977,7.515,1627965.17,3020.25,0.3572,4.75
6236a208-7fc2-4c03-80ce-ce0c91c3cbe6,Back to School — 2022 (PPC),PPC,Silver,National,2022-01-20,2022-01-30,Completed,13758.94,14080.42,3790128,135756,3.582,4380,3.227,1104558.4,7744.64,0.1037,3.21
c0e11aa3-39bc-42ee-8baa-1bda597f9003,Fall Fashion Forward — 2026 (Display),Display,Gold,Southeast,2026-03-08,2026-04-17,Planned,126647.37,0.0,4948578,216956,4.384,3384,1.56,730867.38,0.0,0.0,0.0
7d560749-dcc0-48ed-b78c-2a2f582953ad,Halloween Spookfest — 2022 (PPC),PPC,Platinum,Midwest,2022-06-23,2022-08-04,Completed,248295.47,240929.34,2154734,66284,3.076,4525,6.828,366024.14,51.92,3.6348,53.24
d6f84753-3adb-4fa4-a980-1d94a9eac676,Black Friday Mega Sale — 2024 (Social Media),Social Media,Gold,Midwest,2024-08-01,2024-11-17,Completed,92122.47,92944.02,4263338,157326,3.69,6121,3.891,1614917.67,1637.52,0.5908,15.18
9628c25d-0adf-4641-b417-7be369029b24,Cyber Monday Deals — 2025 (Radio),Radio,Bronze,National,2025-04-14,2025-05-17,Completed,190403.69,187699.36,1294901,57030,4.404,2721,4.772,813087.33,333.19,3.2912,68.98
13b38269-10f2-4cc5-81df-5bf60e7fb837,Holiday Season — 2023 (Display),Display,All Customers,Northeast,2023-06-15,2023-07-21,Completed,122559.94,118507.91,1951859,12541,0.643,174,1.389,52205.03,-55.95,9.4496,681.08
33482091-2aad-4f35-a2e8-423730c1a22e,Brand Awareness Drive — 2024 (TV),TV,Gold,Northeast,2024-03-26,2024-06-09,Completed,50639.18,48677.13,4348434,109955,2.529,2854,2.596,254315.89,422.45,0.4427,17.06
e143feed-662f-4696-8ba8-b1f24d6b310e,Customer Win-Back — 2024 (PPC),PPC,All Customers,Midwest,2024-09-12,2024-12-11,Completed,124524.12,117018.74,2849947,79864,2.802,3706,4.641,845842.75,622.83,1.4652,31.58
487eeafd-ad32-4b4e-b379-18763260ca3c,Loyalty Rewards — 2022 (Social Media),Social Media,Platinum,West Coast,2022-01-23,2022-05-07,Completed,185848.15,172166.57,1056365,11289,1.069,333,2.958,45985.73,-73.29,15.2508,517.02
998ec32b-2a15-4f2c-88e9-57a08f4489c1,Premium Tier Launch — 2024 (Social Media),Social Media,Platinum,International,2024-02-17,2024-03-11,Paused,56281.49,23226.25,4666906,142583,3.055,13739,9.636,868639.45,3639.9,0.1629,1.69
29ab6a11-2c64-4ea8-9de0-08980cbf59d6,Referral Bonus — 2026 (Social Media),Social Media,Gold,Southeast,2026-02-08,2026-05-24,Paused,106899.47,40411.44,1161465,24722,2.129,1787,7.231,275451.79,581.62,1.6346,22.61
5e8cfaf3-39fb-45a0-b4ad-6f18b547eb30,Flash Sale Weekend — 2025 (PPC),PPC,Gold,Midwest,2025-11-01,2026-01-01,Planned,44994.1,0.0,4800848,220454,4.592,24367,11.053,2247537.38,0.0,0.0,0.0
0baa3f49-456f-440a-81a3-bae21584056e,Product Launch Wave — 2023 (Social Media),Social Media,Silver,Northeast,2023-07-20,2023-08-24,Completed,101234.49,93519.75,3012873,248307,8.242,3187,1.284,649682.9,594.7,0.3766,29.34
747793cf-1f2f-4308-a260-ecf66ca5db22,Influencer Collab — 2025 (PPC),PPC,Silver,Northeast,2025-08-07,2025-09-11,Completed,110921.68,104647.21,3433788,144866,4.219,5365,3.704,536510.26,412.68,0.7224,19.51
35f84106-804e-4fef-a08d-bedeccdf7301,New Year Kickoff — 2024 (PPC),PPC,Silver,Midwest,2024-09-01,2024-12-14,Planned,48656.47,0.0,60950,1758,2.885,34,1.966,6208.13,0.0,0.0,0.0
e93d2408-aad2-426e-a61e-fabd80ffa153,Valentine's Day Promo — 2023 (PPC),PPC,Silver,Southeast,2023-07-22,2023-09-16,Completed,87265.24,79672.8,2784808,131084,4.707,7035,5.368,1188620.53,1391.88,0.6078,11.33
4b427c9f-a22c-4f2f-8a39-d725e7df483a,Spring Launch — 2025 (Email),Email,Bronze,National,2025-08-02,2025-10-12,Completed,57563.2,56982.95,612204,28460,4.649,667,2.347,108477.81,90.37,2.0022,85.43
